Comment	Description	Designator	Mouser	TME	Farnell	Quantity
0.1uF	Chip Capacitor, 22 pF, +/- 5%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel	C1, C2, C16	80-C0603C104K3RC7013	CC0603KRX7R8BB104	1740614	3
10uF	CAP CER 10UF 25V X5R 0805	C3, C4, C5, C6, C12, C13, C14, C15, C18, C19, C20, C21	581-08053D106KAT2A	C2012X5R1E106KAB	2346927	12
4.7uF	Chip Capacitor, 22 pF, +/- 5%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel	C7, C25, C26	581-0603YW475KAT2A	0603X475K100CT	2211173	3
100nF	Chip Capacitor, 22 pF, +/- 5%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel	C8, C9, C10, C11, C17, C22, C23, C24	581-0603YC104J4T4A	0603B104J500CT	2332586	8
1uF	Chip Capacitor, 22 pF, +/- 5%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel	C27, C28	581-06035C105KAT2A	GCM188R71E105KA64D	1740640	2
LTST-C190GKT	LED Uni-Color Green 565nm 2-Pin Chip LED T/R, LED GREEN CLEAR CHIP SMD	D1, D2, D3	859-LTST-C190GKT	LTST-C190GKT	1465991	3
NCV8730ASN500T1G	NCV8730ASN500T1G	IC1	863-NCV8730ASN500T1G	N/A	3463974	1
10118193-0001LF	USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole	J	649-10118193-0001LF	10118193-0001LF/C	2751675	1
7-215079-4	Micro-MaTch 4 Position 1.27 mm Pitch Vertical Female-on-Board Connector	J6, J9, J10, J12	571-7-215079-4	7-215079-4	2778789	4
FTSH-105-01-L-DV-K	Male Header, Pitch 1.27 mm, 2 x 5 Position, Height 6.25 mm	P1	200-FTSH10501LDVK	N/A	3550960	1
BUK6Y10-30P	BUK6Y10-30P	Q1	771-BUK6Y10-30PX	BUK6Y10-30PX	3438512	1
3.3K	Chip Resistor, 0 Ohm, Jumper, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel	R1, R4, R6, R8, R9	667-ERJ-UP3F3301V	ERA3AEB332V	9238549	5
100K	Chip Resistor, 0 Ohm, Jumper, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel	R2, R5, R7	755-SDR03EZPD1003	HP03-100K5%	9330402	3
10K	Chip Resistor, 0 Ohm, Jumper, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel	R3	603-RT0603FRE0710KL	CRGP0603F10K	2073356	1
DRV8243HQRXYRQ1	Automotive 40-V, 12-A H-Bridge driver with integrated current sensing and feedback 14-VQFN-HR -40 to 125	U1, U4, U9	595-DRV8243HQRXYRQ1	N/A	N/A	3
STM32G441KBT6	STM32G441KBT6	U2	511-STM32G441KBT6	N/A	3132413	1
NCP164CSN330T1G	NCP164CSN330T1G	U3	863-NCP164CSN330T1G	NCP164CSN330T1G	3367831	1
MAX14930DASE+T	Digital Isolator, 4Ch, -40 To 125Deg C Rohs Compliant: Yes	U5, U6	700-MAX14930DASE+	N/A	3257451	2
CM1223-02SO	Industry First Low Capacitance ESD Protection Arrays with Backdrive Protection, 5-Pin SOT-23, Pb-Free, Tape and Reel	U8	748-CM1223-02SO	CM1223-02SO	3607672	1
